date,South Korea,France,Canada,India,United Kingdom
2020-01-21T00:00:00Z,0,0,0,0,0
2020-01-22T00:00:00Z,0,0,0,0,0
2020-01-23T00:00:00Z,0,0,0,0,0
2020-01-24T00:00:00Z,1,2,0,0,0
2020-01-25T00:00:00Z,0,1,0,0,0
2020-01-26T00:00:00Z,1,0,1,0,0
2020-01-27T00:00:00Z,1,0,0,0,0
2020-01-28T00:00:00Z,0,1,1,0,0
2020-01-29T00:00:00Z,0,1,0,0,0
2020-01-30T00:00:00Z,0,0,0,1,0
2020-01-31T00:00:00Z,7,0,2,0,2
2020-02-01T00:00:00Z,1,1,0,0,0
2020-02-02T00:00:00Z,3,0,0,1,0
2020-02-03T00:00:00Z,0,0,0,1,6
2020-02-04T00:00:00Z,1,0,0,0,0
2020-02-05T00:00:00Z,3,0,1,0,1
2020-02-06T00:00:00Z,4,0,0,0,0
2020-02-07T00:00:00Z,1,0,2,0,0
2020-02-08T00:00:00Z,0,5,0,0,4
2020-02-09T00:00:00Z,1,0,0,0,1
2020-02-10T00:00:00Z,2,0,0,0,0
2020-02-11T00:00:00Z,1,0,0,0,1
2020-02-12T00:00:00Z,0,0,0,0,1
2020-02-13T00:00:00Z,0,0,0,0,1
2020-02-14T00:00:00Z,0,0,0,0,1
2020-02-15T00:00:00Z,0,1,0,0,0
2020-02-16T00:00:00Z,1,0,0,0,0
2020-02-17T00:00:00Z,1,0,1,0,1
2020-02-18T00:00:00Z,1,0,0,0,0
2020-02-19T00:00:00Z,0,0,0,0,1
2020-02-20T00:00:00Z,73,0,0,0,2
2020-02-21T00:00:00Z,100,0,1,0,1
2020-02-22T00:00:00Z,229,0,0,0,0
2020-02-23T00:00:00Z,169,0,0,0,5
2020-02-24T00:00:00Z,231,0,1,0,2
2020-02-25T00:00:00Z,144,2,2,0,4
2020-02-26T00:00:00Z,284,4,0,0,3
2020-02-27T00:00:00Z,505,20,2,0,7
2020-02-28T00:00:00Z,571,19,1,0,12
2020-02-29T00:00:00Z,813,43,6,0,5
2020-03-01T00:00:00Z,586,30,5,0,33
2020-03-02T00:00:00Z,599,61,6,2,40
2020-03-03T00:00:00Z,851,21,5,0,55
2020-03-04T00:00:00Z,435,76,5,23,56
2020-03-05T00:00:00Z,467,138,4,2,49
2020-03-06T00:00:00Z,505,190,14,1,79
2020-03-07T00:00:00Z,448,332,4,3,55
2020-03-08T00:00:00Z,273,177,10,5,54
2020-03-09T00:00:00Z,164,286,14,4,147
2020-03-10T00:00:00Z,35,372,4,13,259
2020-03-11T00:00:00Z,242,510,35,6,412
2020-03-12T00:00:00Z,114,0,14,11,489
2020-03-13T00:00:00Z,110,1385,72,9,479
2020-03-14T00:00:00Z,107,815,23,20,364
2020-03-15T00:00:00Z,76,36,60,11,443
2020-03-16T00:00:00Z,74,2151,154,6,615
2020-03-17T00:00:00Z,84,1032,82,23,768
2020-03-18T00:00:00Z,93,1409,200,14,999
2020-03-19T00:00:00Z,152,1841,189,38,1060
2020-03-20T00:00:00Z,87,1783,254,50,1257
2020-03-21T00:00:00Z,147,1699,478,86,1215
2020-03-22T00:00:00Z,162,2295,392,66,1376
2020-03-23T00:00:00Z,0,3355,555,103,2339
2020-03-24T00:00:00Z,76,2243,585,37,2371
2020-03-25T00:00:00Z,100,2955,498,121,2703
2020-03-26T00:00:00Z,104,3916,867,70,3104
2020-03-27T00:00:00Z,91,3792,699,160,3223
2020-03-28T00:00:00Z,146,4648,836,100,2831
2020-03-29T00:00:00Z,105,2603,930,37,2868
2020-03-30T00:00:00Z,78,4343,1106,227,4306
2020-03-31T00:00:00Z,125,7635,1125,146,4515
2020-04-01T00:00:00Z,101,4843,1281,601,4945
2020-04-02T00:00:00Z,89,2100,1692,545,4886
2020-04-03T00:00:00Z,86,5223,1340,24,4954
2020-04-04T00:00:00Z,94,17076,1347,515,4050
