location,date,new_cases
Canada,2020-02-20T00:00:00Z,0
Canada,2020-02-21T00:00:00Z,1
Canada,2020-02-22T00:00:00Z,0
Canada,2020-02-23T00:00:00Z,0
Canada,2020-02-24T00:00:00Z,1
Canada,2020-02-25T00:00:00Z,2
Canada,2020-02-26T00:00:00Z,0
Canada,2020-02-27T00:00:00Z,2
Canada,2020-02-28T00:00:00Z,1
Canada,2020-02-29T00:00:00Z,6
Canada,2020-03-01T00:00:00Z,5
Canada,2020-03-02T00:00:00Z,6
Canada,2020-03-03T00:00:00Z,5
Canada,2020-03-04T00:00:00Z,5
Canada,2020-03-05T00:00:00Z,4
Canada,2020-03-06T00:00:00Z,14
Canada,2020-03-07T00:00:00Z,4
Canada,2020-03-08T00:00:00Z,10
Canada,2020-03-09T00:00:00Z,14
Canada,2020-03-10T00:00:00Z,4
Canada,2020-03-11T00:00:00Z,35
Canada,2020-03-12T00:00:00Z,14
Canada,2020-03-13T00:00:00Z,72
Canada,2020-03-14T00:00:00Z,23
Canada,2020-03-15T00:00:00Z,60
Canada,2020-03-16T00:00:00Z,154
Canada,2020-03-17T00:00:00Z,82
Canada,2020-03-18T00:00:00Z,200
Canada,2020-03-19T00:00:00Z,189
Canada,2020-03-20T00:00:00Z,254
Canada,2020-03-21T00:00:00Z,478
Canada,2020-03-22T00:00:00Z,392
Canada,2020-03-23T00:00:00Z,555
Canada,2020-03-24T00:00:00Z,585
Canada,2020-03-25T00:00:00Z,498
Canada,2020-03-26T00:00:00Z,867
Canada,2020-03-27T00:00:00Z,699
Canada,2020-03-28T00:00:00Z,836
Canada,2020-03-29T00:00:00Z,930
Canada,2020-03-30T00:00:00Z,1106
Canada,2020-03-31T00:00:00Z,1125
Canada,2020-04-01T00:00:00Z,1281
Canada,2020-04-02T00:00:00Z,1692
Canada,2020-04-03T00:00:00Z,1340
Canada,2020-04-04T00:00:00Z,1347
France,2020-02-20T00:00:00Z,0
France,2020-02-21T00:00:00Z,0
France,2020-02-22T00:00:00Z,0
France,2020-02-23T00:00:00Z,0
France,2020-02-24T00:00:00Z,0
France,2020-02-25T00:00:00Z,2
France,2020-02-26T00:00:00Z,4
France,2020-02-27T00:00:00Z,20
France,2020-02-28T00:00:00Z,19
France,2020-02-29T00:00:00Z,43
France,2020-03-01T00:00:00Z,30
France,2020-03-02T00:00:00Z,61
France,2020-03-03T00:00:00Z,21
France,2020-03-04T00:00:00Z,76
France,2020-03-05T00:00:00Z,138
France,2020-03-06T00:00:00Z,190
France,2020-03-07T00:00:00Z,332
France,2020-03-08T00:00:00Z,177
France,2020-03-09T00:00:00Z,286
France,2020-03-10T00:00:00Z,372
France,2020-03-11T00:00:00Z,510
France,2020-03-12T00:00:00Z,0
France,2020-03-13T00:00:00Z,1385
France,2020-03-14T00:00:00Z,815
France,2020-03-15T00:00:00Z,36
France,2020-03-16T00:00:00Z,2151
France,2020-03-17T00:00:00Z,1032
France,2020-03-18T00:00:00Z,1409
France,2020-03-19T00:00:00Z,1841
France,2020-03-20T00:00:00Z,1783
France,2020-03-21T00:00:00Z,1699
France,2020-03-22T00:00:00Z,2295
France,2020-03-23T00:00:00Z,3355
France,2020-03-24T00:00:00Z,2243
France,2020-03-25T00:00:00Z,2955
France,2020-03-26T00:00:00Z,3916
France,2020-03-27T00:00:00Z,3792
France,2020-03-28T00:00:00Z,4648
France,2020-03-29T00:00:00Z,2603
France,2020-03-30T00:00:00Z,4343
France,2020-03-31T00:00:00Z,7635
France,2020-04-01T00:00:00Z,4843
France,2020-04-02T00:00:00Z,2100
France,2020-04-03T00:00:00Z,5223
France,2020-04-04T00:00:00Z,-17076
India,2020-02-20T00:00:00Z,0
India,2020-02-21T00:00:00Z,0
India,2020-02-22T00:00:00Z,0
India,2020-02-23T00:00:00Z,0
India,2020-02-24T00:00:00Z,0
India,2020-02-25T00:00:00Z,0
India,2020-02-26T00:00:00Z,0
India,2020-02-27T00:00:00Z,0
India,2020-02-28T00:00:00Z,0
India,2020-02-29T00:00:00Z,0
India,2020-03-01T00:00:00Z,0
India,2020-03-02T00:00:00Z,2
India,2020-03-03T00:00:00Z,0
India,2020-03-04T00:00:00Z,23
India,2020-03-05T00:00:00Z,2
India,2020-03-06T00:00:00Z,1
India,2020-03-07T00:00:00Z,3
India,2020-03-08T00:00:00Z,5
India,2020-03-09T00:00:00Z,4
India,2020-03-10T00:00:00Z,13
India,2020-03-11T00:00:00Z,6
India,2020-03-12T00:00:00Z,11
India,2020-03-13T00:00:00Z,9
India,2020-03-14T00:00:00Z,20
India,2020-03-15T00:00:00Z,11
India,2020-03-16T00:00:00Z,6
India,2020-03-17T00:00:00Z,23
India,2020-03-18T00:00:00Z,14
India,2020-03-19T00:00:00Z,38
India,2020-03-20T00:00:00Z,50
India,2020-03-21T00:00:00Z,86
India,2020-03-22T00:00:00Z,66
India,2020-03-23T00:00:00Z,103
India,2020-03-24T00:00:00Z,37
India,2020-03-25T00:00:00Z,121
India,2020-03-26T00:00:00Z,70
India,2020-03-27T00:00:00Z,160
India,2020-03-28T00:00:00Z,100
India,2020-03-29T00:00:00Z,37
India,2020-03-30T00:00:00Z,227
India,2020-03-31T00:00:00Z,146
India,2020-04-01T00:00:00Z,601
India,2020-04-02T00:00:00Z,545
India,2020-04-03T00:00:00Z,24
India,2020-04-04T00:00:00Z,515
South Korea,2020-02-20T00:00:00Z,73
South Korea,2020-02-21T00:00:00Z,100
South Korea,2020-02-22T00:00:00Z,229
South Korea,2020-02-23T00:00:00Z,169
South Korea,2020-02-24T00:00:00Z,231
South Korea,2020-02-25T00:00:00Z,144
South Korea,2020-02-26T00:00:00Z,284
South Korea,2020-02-27T00:00:00Z,505
South Korea,2020-02-28T00:00:00Z,571
South Korea,2020-02-29T00:00:00Z,813
South Korea,2020-03-01T00:00:00Z,586
South Korea,2020-03-02T00:00:00Z,599
South Korea,2020-03-03T00:00:00Z,851
South Korea,2020-03-04T00:00:00Z,435
South Korea,2020-03-05T00:00:00Z,467
South Korea,2020-03-06T00:00:00Z,505
South Korea,2020-03-07T00:00:00Z,448
South Korea,2020-03-08T00:00:00Z,273
South Korea,2020-03-09T00:00:00Z,164
South Korea,2020-03-10T00:00:00Z,35
South Korea,2020-03-11T00:00:00Z,242
South Korea,2020-03-12T00:00:00Z,114
South Korea,2020-03-13T00:00:00Z,110
South Korea,2020-03-14T00:00:00Z,107
South Korea,2020-03-15T00:00:00Z,76
South Korea,2020-03-16T00:00:00Z,74
South Korea,2020-03-17T00:00:00Z,84
South Korea,2020-03-18T00:00:00Z,93
South Korea,2020-03-19T00:00:00Z,152
South Korea,2020-03-20T00:00:00Z,87
South Korea,2020-03-21T00:00:00Z,147
South Korea,2020-03-22T00:00:00Z,162
South Korea,2020-03-23T00:00:00Z,0
South Korea,2020-03-24T00:00:00Z,76
South Korea,2020-03-25T00:00:00Z,100
South Korea,2020-03-26T00:00:00Z,104
South Korea,2020-03-27T00:00:00Z,91
South Korea,2020-03-28T00:00:00Z,146
South Korea,2020-03-29T00:00:00Z,105
South Korea,2020-03-30T00:00:00Z,78
South Korea,2020-03-31T00:00:00Z,125
South Korea,2020-04-01T00:00:00Z,101
South Korea,2020-04-02T00:00:00Z,89
South Korea,2020-04-03T00:00:00Z,86
South Korea,2020-04-04T00:00:00Z,94
United Kingdom,2020-02-20T00:00:00Z,2
United Kingdom,2020-02-21T00:00:00Z,1
United Kingdom,2020-02-22T00:00:00Z,0
United Kingdom,2020-02-23T00:00:00Z,5
United Kingdom,2020-02-24T00:00:00Z,2
United Kingdom,2020-02-25T00:00:00Z,4
United Kingdom,2020-02-26T00:00:00Z,3
United Kingdom,2020-02-27T00:00:00Z,7
United Kingdom,2020-02-28T00:00:00Z,12
United Kingdom,2020-02-29T00:00:00Z,5
United Kingdom,2020-03-01T00:00:00Z,33
United Kingdom,2020-03-02T00:00:00Z,40
United Kingdom,2020-03-03T00:00:00Z,55
United Kingdom,2020-03-04T00:00:00Z,56
United Kingdom,2020-03-05T00:00:00Z,49
United Kingdom,2020-03-06T00:00:00Z,79
United Kingdom,2020-03-07T00:00:00Z,55
United Kingdom,2020-03-08T00:00:00Z,54
United Kingdom,2020-03-09T00:00:00Z,147
United Kingdom,2020-03-10T00:00:00Z,259
United Kingdom,2020-03-11T00:00:00Z,412
United Kingdom,2020-03-12T00:00:00Z,489
United Kingdom,2020-03-13T00:00:00Z,479
United Kingdom,2020-03-14T00:00:00Z,364
United Kingdom,2020-03-15T00:00:00Z,443
United Kingdom,2020-03-16T00:00:00Z,615
United Kingdom,2020-03-17T00:00:00Z,768
United Kingdom,2020-03-18T00:00:00Z,999
United Kingdom,2020-03-19T00:00:00Z,1060
United Kingdom,2020-03-20T00:00:00Z,1257
United Kingdom,2020-03-21T00:00:00Z,1215
United Kingdom,2020-03-22T00:00:00Z,1376
United Kingdom,2020-03-23T00:00:00Z,2339
United Kingdom,2020-03-24T00:00:00Z,2371
United Kingdom,2020-03-25T00:00:00Z,2703
United Kingdom,2020-03-26T00:00:00Z,3104
United Kingdom,2020-03-27T00:00:00Z,3223
United Kingdom,2020-03-28T00:00:00Z,2831
United Kingdom,2020-03-29T00:00:00Z,2868
United Kingdom,2020-03-30T00:00:00Z,4306
United Kingdom,2020-03-31T00:00:00Z,4515
United Kingdom,2020-04-01T00:00:00Z,4945
United Kingdom,2020-04-02T00:00:00Z,4886
United Kingdom,2020-04-03T00:00:00Z,4954
United Kingdom,2020-04-04T00:00:00Z,4050
